방송일시,노출(분),마더코드,상품코드,상품명,상품군,판매단가,취급액
2019-01-01 6:00,20,100346,201072,테이트 남성 셀린니트3종,의류,39900.00,2099000.00
2019-01-01 6:00,,100346,201079,테이트 여성 셀린니트3종,의류,39900.00,4371000.00
2019-01-01 6:20,20,100346,201072,테이트 남성 셀린니트3종,의류,39900.00,3262000.00
2019-01-01 6:20,,100346,201079,테이트 여성 셀린니트3종,의류,39900.00,6955000.00
2019-01-01 6:40,20,100346,201072,테이트 남성 셀린니트3종,의류,39900.00,6672000.00
2019-01-01 6:40,,100346,201079,테이트 여성 셀린니트3종,의류,39900.00,9337000.00
2019-01-01 7:00,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,59000.00,6819000.00
2019-01-01 7:20,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,59000.00,15689000.00
2019-01-01 7:40,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,59000.00,25370000.00
2019-01-01 8:00,20,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900.00,16133000.00
2019-01-01 8:20,20,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900.00,30061000.00
2019-01-01 8:40,20,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900.00,53542000.00
2019-01-01 9:00,20,100816,202404,보코 리버시블 무스탕,의류,79000.00,16075000.00
2019-01-01 9:20,20,100816,202404,보코 리버시블 무스탕,의류,79000.00,25628000.00
2019-01-01 9:40,20,100816,202404,보코 리버시블 무스탕,의류,79000.00,49270000.00
2019-01-01 10:00,20,100809,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,79900.00,48799000.00
2019-01-01 10:20,20,100809,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,79900.00,97907000.00
2019-01-01 10:40,20,100809,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,79900.00,112972000.00
2019-01-01 11:00,20,100664,201999,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,69900.00,24531000.00
2019-01-01 11:20,20,100664,201999,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,69900.00,49829000.00
2019-01-01 12:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900.00,33823000.00
2019-01-01 12:20,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900.00,59083000.00
2019-01-01 12:40,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900.00,99235000.00
2019-01-01 13:00,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000.00,32273000.00
2019-01-01 13:30,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000.00,79273000.00
2019-01-01 14:00,30,100377,201220,그렉노먼 남성 구스다운 롱 벤치코트,의류,119000.00,11269000.00
2019-01-01 14:00,,100377,201226,그렉노먼 여성 구스다운 롱 벤치코트,의류,119000.00,20841000.00
2019-01-01 14:30,30,100377,201220,그렉노먼 남성 구스다운 롱 벤치코트,의류,119000.00,40526000.00
2019-01-01 14:30,,100377,201226,그렉노먼 여성 구스다운 롱 벤치코트,의류,119000.00,47294000.00
2019-01-01 15:00,20,100496,201497,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900.00,14113000.00
2019-01-01 15:20,20,100496,201497,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900.00,32395000.00
2019-01-01 15:40,20,100496,201497,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900.00,39669000.00
2019-01-01 16:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900.00,60787000.00
2019-01-01 16:20,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900.00,115457000.00
2019-01-01 16:40,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000.00,83893000.00
2019-01-01 17:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800.00,42239000.00
2019-01-01 17:20,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800.00,73494000.00
2019-01-01 17:40,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800.00,107103000.00
2019-01-01 18:00,20,100435,201350,우리바다 손질왕꼬막 24팩,농수축,39900.00,59050000.00
2019-01-01 18:20,20,100435,201350,우리바다 손질왕꼬막 24팩,농수축,39900.00,85937000.00
2019-01-01 18:40,20,100435,201350,우리바다 손질왕꼬막 24팩,농수축,39900.00,101468000.00
2019-01-01 19:00,20,100607,201892,푸마 에어핏 서포트 브라세트 15종+4종,속옷,119000.00,36620000.00
2019-01-01 19:20,20,100607,201892,푸마 에어핏 서포트 브라세트 15종+4종,속옷,119000.00,69349000.00
2019-01-01 19:40,20,100607,201892,푸마 에어핏 서포트 브라세트 15종+4종,속옷,119000.00,84610000.00
2019-01-01 20:00,20,100150,200533,일시불 LG 통돌이 세탁기,가전,439000.00,35519000.00
2019-01-01 20:00,,100150,200465,무이자 LG 통돌이 세탁기,가전,489000.00,19123000.00
2019-01-01 20:20,20,100150,200533,일시불 LG 통돌이 세탁기,가전,439000.00,56859000.00
2019-01-01 20:20,,100150,200465,무이자 LG 통돌이 세탁기,가전,489000.00,58685000.00
2019-01-01 20:40,20,100150,200533,일시불 LG 통돌이 세탁기,가전,439000.00,68320000.00
2019-01-01 20:40,,100150,200465,무이자 LG 통돌이 세탁기,가전,489000.00,46068000.00
2019-01-01 21:00,20,100049,202044,마리노블 밍크 롱코트,의류,499000.00,16362000.00
2019-01-01 21:20,20,100049,202044,마리노블 밍크 롱코트,의류,499000.00,53791000.00
